fecha,flota,puerto,provincia,provincia_id,departamento,departamento_id,latitud,longitud,categoria,especie,especie_agrupada,captura
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Anchoa de banco,Variado costero,27589
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Bacalao austral,otras especies,1005
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Besugo,Variado costero,10099
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Brótola,otras especies,1887
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Caballa,otras especies,90
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Cazón,Variado costero,468
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Corvina blanca,Variado costero,30
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Gatuzo,otras especies,149
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Gatuzo,Variado costero,28
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Lenguados nep,otras especies,423
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Lenguados nep,Variado costero,22
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Merluza hubbsi,Merluza hubbsi N41 CTMFM,6
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Merluza hubbsi,Merluza hubbsi N41 ZEEA,26707
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Merluza hubbsi,Merluza hubbsi S41,40
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Mero,otras especies,18545579
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Mero,Variado costero,96
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Notothenia,otras especies,600
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Palometa,Variado costero,1350
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pargo,Variado costero,240
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pescadilla,Variado costero,360
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez gallo,otras especies,2700
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez gallo,Variado costero,4479
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez palo,Variado costero,419007
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez sable,Variado costero,66
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez ángel,otras especies,544
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez ángel,Variado costero,3943
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Rayas nep,Rayas (sin V. Cost),3047
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Rayas nep,Variado costero,3270
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Rubio,otras especies,896
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Róbalo,otras especies,58752
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmonete,otras especies,175
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmón de mar,otras especies,279
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmón de mar,Variado costero,3995
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Savorín,otras especies,478020
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Tiburones nep,otras especies,350
2019-01,Fresqueros,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Tiburones nep,Variado costero,2115
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Crustáceos,Cangrejo,otras especies,450
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Moluscos,Calamar Loligo,otras especies,21014
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Besugo,otras especies,2644
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Besugo,Variado costero,703
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Caballa,otras especies,60
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Chernia,Variado costero,728793
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Corvina blanca,otras especies,20982
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Corvina blanca,Variado costero,8320
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Gatuzo,otras especies,3808
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Gatuzo,Variado costero,914414
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Lenguados nep,otras especies,64
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Lenguados nep,Variado costero,2555
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Merluza hubbsi,Merluza hubbsi N41 CTMFM,126
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Mero,otras especies,128929
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Mero,Variado costero,91092
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pargo,Variado costero,973
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pejerrey,otras especies,201
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pescadilla,otras especies,20459
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pescadilla,Variado costero,510
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez palo,otras especies,35
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez palo,Variado costero,60
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez ángel,otras especies,153926
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Pez ángel,Variado costero,376
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Rayas nep,Rayas (sin V. Cost),22617
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Rayas nep,Variado costero,401
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmonete,otras especies,13139
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmón de mar,otras especies,59998
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Salmón de mar,Variado costero,14766
2019-01,Rada o ría,Mar del Plata,Buenos Aires,06,General Pueyrredon,06357,-38.04915,-57.536848,Peces,Tiburones nep,Variado costero,4398352
2019-01,Fresqueros,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Merluza hubbsi,Merluza hubbsi S41,7766
2019-01,Fresqueros,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Raya hocicuda / picuda,Rayas (sin V. Cost),2126
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Moluscos,Calamar Loligo,otras especies,30
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Moluscos,Caracol,otras especies,429
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Besugo,Variado costero,6239
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Corvina blanca,Variado costero,21677
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Gatuzo,Variado costero,5004
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Jurel,otras especies,4415
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Lenguados nep,Variado costero,19851
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Mero,Variado costero,4861
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Pargo,Variado costero,277
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Pescadilla,Variado costero,13845
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Pez gallo,Variado costero,149380
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Pez palo,Variado costero,36495
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Pez ángel,Variado costero,3380
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Rayas nep,Variado costero,65
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Salmón de mar,Variado costero,227
2019-01,Rada o ría,Necochea / Quequén,Buenos Aires,06,Necochea,06581,-38.576184,-58.701949,Peces,Tiburones nep,Variado costero,6419
2019-01,Congeladores poteros nacionales,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Moluscos,Calamar Illex,Calamar Illex,3945
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Bagre,otras especies,1089
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Corvina blanca,Variado costero,494
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Corvina negra,Variado costero,138
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Gatuzo,Variado costero,10116
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Palometa,Variado costero,252
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Pescadilla,Variado costero,3562
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Pez ángel,Variado costero,6360
2019-01,Costeros,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Peces,Rayas nep,Variado costero,5410
2019-01,Rada o ría,otros puertos Buenos Aires,Buenos Aires,06,sin especificar,06999,,,Crustáceos,Camarón,otras especies,178591
