fecha,flota,id_puerto,categoria,id_especie,captura
2019-01,Costeros,otros puertos Buenos Aires,Peces,Corvina blanca,494
2019-01,Costeros,otros puertos Buenos Aires,Peces,Corvina negra,138
2019-01,Costeros,otros puertos Buenos Aires,Peces,Gatuzo,10116
2019-01,Costeros,otros puertos Buenos Aires,Peces,Palometa,252
2019-01,Costeros,otros puertos Buenos Aires,Peces,Pescadilla,3562
2019-01,Costeros,otros puertos Buenos Aires,Peces,Pez ángel,6360
2019-01,Costeros,otros puertos Buenos Aires,Peces,Rayas nep,5410
2019-01,Rada o ría,otros puertos Buenos Aires,Crustáceos,Camarón,178591
2019-01,Rada o ría,otros puertos Buenos Aires,Crustáceos,Langostino,89
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Bagre,5721
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Brótola,30
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Corvina blanca,1003602
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Gatuzo,44534
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Lenguados nep,118
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Lisa,353040
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Otras especies de peces,420
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Palometa,980
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Pescadilla,2819
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Pez gallo,245
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Pez ángel,890
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Rayas nep,50147
2019-01,Rada o ría,otros puertos Buenos Aires,Peces,Rayas nep,372000
2019-01,Congeladores poteros nacionales,Puerto Deseado,Moluscos,Calamar Illex,60
2019-01,Congeladores trampas,Puerto Deseado,Crustáceos,Centolla,110
2019-01,Fresqueros,Puerto Deseado,Crustáceos,Centolla,490
2019-01,Fresqueros,Puerto Deseado,Moluscos,Calamar Illex,200
2019-01,Fresqueros,Puerto Deseado,Peces,Abadejo,3030
2019-01,Fresqueros,Puerto Deseado,Peces,Merluza hubbsi,7390
2019-01,Fresqueros,Puerto Deseado,Peces,Notothenia,60990
2019-01,Fresqueros,Puerto Deseado,Peces,Raya hocicuda / picuda,70
2019-01,Fresqueros,Puerto Deseado,Peces,Rubio,490
2019-01,Congeladores arrastreros,Puerto Madryn,Moluscos,Calamar Illex,6013
2019-01,Congeladores arrastreros,Puerto Madryn,Peces,Abadejo,1525
2019-01,Congeladores arrastreros,Puerto Madryn,Peces,Merluza hubbsi,50
2019-01,Congeladores arrastreros,Puerto Madryn,Peces,Pampanito,250
2019-01,Congeladores poteros nacionales,Puerto Madryn,Moluscos,Calamar Illex,78670
2019-01,Costeros,Puerto Madryn,Crustáceos,Langostino,9535
2019-01,Costeros,Puerto Madryn,Peces,Salmón de mar,92473
2019-01,Costeros,Rawson,Crustáceos,Langostino,2280
2019-01,Costeros,Rawson,Peces,Merluza hubbsi,14427
2019-01,Fresqueros,Rawson,Crustáceos,Langostino,3785
2019-01,Rada o ría,Rawson,Crustáceos,Langostino,43465
2019-01,Rada o ría,Rawson,Moluscos,Calamar Illex,4030
2019-01,Rada o ría,Rawson,Moluscos,Calamar Loligo,695
2019-01,Rada o ría,Rawson,Peces,Merluza hubbsi,2265
2019-01,Rada o ría,Rawson,Peces,Mero,3130
2019-01,Rada o ría,Rawson,Peces,Pejerrey,100
2019-01,Rada o ría,Rawson,Peces,Pez gallo,5046
2019-01,Rada o ría,Rawson,Peces,Salmón de mar,475
2019-01,Costeros,Rosales,Peces,Gatuzo,1575
2019-01,Costeros,Rosales,Peces,Lenguados nep,9175
2019-01,Costeros,Rosales,Peces,Palometa,500
2019-01,Costeros,Rosales,Peces,Pescadilla,26790
2019-01,Costeros,San Antonio Este,Crustáceos,Langostino,161
2019-01,Costeros,San Antonio Este,Peces,Lenguados nep,1080
2019-01,Costeros,San Antonio Este,Peces,Merluza hubbsi,8603
2019-01,Costeros,San Antonio Este,Peces,Mero,2329
2019-01,Costeros,San Antonio Este,Peces,Otras especies de peces,19633
2019-01,Costeros,San Antonio Este,Peces,Pez gallo,9854
2019-01,Costeros,San Antonio Este,Peces,Raya hocicuda / picuda,18717
2019-01,Costeros,San Antonio Este,Peces,Rayas nep,104
2019-01,Costeros,San Antonio Este,Peces,Salmón de mar,285
2019-01,Costeros,San Antonio Oeste,Crustáceos,Langostino,12042
2019-01,Costeros,San Antonio Oeste,Moluscos,Calamar Illex,4630
2019-01,Costeros,San Antonio Oeste,Peces,Gatuzo,10
2019-01,Costeros,San Antonio Oeste,Peces,Lenguados nep,53
2019-01,Costeros,San Antonio Oeste,Peces,Merluza hubbsi,1015
2019-01,Costeros,San Antonio Oeste,Peces,Mero,850
2019-01,Costeros,San Antonio Oeste,Peces,Otras especies de peces,45
2019-01,Costeros,San Antonio Oeste,Peces,Palometa,920
2019-01,Costeros,San Antonio Oeste,Peces,Pez gallo,450
2019-01,Costeros,San Antonio Oeste,Peces,Raya hocicuda / picuda,72
2019-01,Costeros,San Antonio Oeste,Peces,Salmón de mar,1076
2019-01,Rada o ría,San Antonio Oeste,Crustáceos,Langostino,15
2019-01,Rada o ría,San Antonio Oeste,Peces,Lenguados nep,10
2019-01,Rada o ría,San Antonio Oeste,Peces,Merluza hubbsi,1560
2019-01,Rada o ría,San Antonio Oeste,Peces,Pez gallo,24
2019-01,Rada o ría,San Antonio Oeste,Peces,Raya hocicuda / picuda,3474248
2019-01,Costeros,San Clemente del Tuyú,Peces,Pescadilla real,864
2019-01,Rada o ría,San Clemente del Tuyú,Peces,Corvina blanca,2784
2019-01,Rada o ría,San Clemente del Tuyú,Peces,Lisa,8160
2019-01,Fresqueros,San Julián,Crustáceos,Centolla,14656
2019-01,Congeladores arrastreros,Ushuaia,Moluscos,Vieira (callos),2
2019-01,Congeladores arrastreros,Ushuaia,Peces,Abadejo,12416
2019-01,Congeladores arrastreros,Ushuaia,Peces,Bacalao austral,2432
2019-01,Congeladores arrastreros,Ushuaia,Peces,Granadero,52238
2019-01,Congeladores arrastreros,Ushuaia,Peces,Merluza austral,60
2019-01,Congeladores arrastreros,Ushuaia,Peces,Merluza de cola,23146
2019-01,Congeladores arrastreros,Ushuaia,Peces,Merluza negra,4745
2019-01,Congeladores arrastreros,Ushuaia,Peces,Polaca,60
2019-01,Congeladores arrastreros,Ushuaia,Peces,Rayas nep,20400
2019-01,Congeladores arrastreros,Ushuaia,Peces,Savorín,180
2019-02,Congeladores poteros nacionales,Caleta Olivia / Paula,Moluscos,Calamar Illex,3850341
2019-02,Costeros,Caleta Olivia / Paula,Peces,Merluza hubbsi,66136
2019-02,Costeros,Caleta Olivia / Paula,Peces,Rayas nep,3079
2019-02,Fresqueros,Caleta Olivia / Paula,Crustáceos,Centolla,538
2019-02,Fresqueros,Caleta Olivia / Paula,Peces,Merluza hubbsi,2417166
2019-02,Rada o ría,Caleta Olivia / Paula,Peces,Merluza hubbsi,29
2019-02,Rada o ría,Caleta Olivia / Paula,Peces,Pez gallo,16
2019-02,Congeladores poteros nacionales,Comodoro Rivadavia,Moluscos,Calamar Illex,95
2019-02,Costeros,Comodoro Rivadavia,Peces,Merluza hubbsi,52248
2019-02,Costeros,Comodoro Rivadavia,Peces,Pez gallo,611
2019-02,Fresqueros,Comodoro Rivadavia,Crustáceos,Centolla,1258
2019-02,Fresqueros,Comodoro Rivadavia,Moluscos,Calamar Illex,702
2019-02,Fresqueros,Comodoro Rivadavia,Peces,Abadejo,8795
2019-02,Fresqueros,Comodoro Rivadavia,Peces,Merluza hubbsi,708
2019-02,Fresqueros,Comodoro Rivadavia,Peces,Merluza hubbsi,203044
2019-02,Fresqueros,Comodoro Rivadavia,Peces,Pez gallo,3033218
2019-02,Fresqueros,Comodoro Rivadavia,Peces,Rayas nep,54754
2019-02,Congeladores arrastreros,Mar del Plata,Moluscos,Calamar Illex,31
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Abadejo,890648
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Bacalao austral,26
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Caballa,58763
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Merluza hubbsi,55
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Mero,226965
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Notothenia,7531
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Palometa,15926
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Pampanito,11005
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Pampanito,14034
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Papafigo,2218348
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Raya hocicuda / picuda,46321
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Rayas nep,181622
2019-02,Congeladores arrastreros,Mar del Plata,Peces,Rubio,1957
2019-02,Congeladores poteros nacionales,Mar del Plata,Moluscos,Calamar Illex,15674
2019-02,Congeladores trampas,Mar del Plata,Crustáceos,Centolla,300
2019-02,Costeros,Mar del Plata,Crustáceos,Cangrejo,155790
2019-02,Costeros,Mar del Plata,Crustáceos,Langostino,580177
2019-02,Costeros,Mar del Plata,Moluscos,Calamar Illex,1226152
2019-02,Costeros,Mar del Plata,Moluscos,Calamar Loligo,11721596
2019-02,Costeros,Mar del Plata,Peces,Abadejo,521386
2019-02,Costeros,Mar del Plata,Peces,Anchoa de banco,14415622
2019-02,Costeros,Mar del Plata,Peces,Anchoa de banco,5260399
2019-02,Costeros,Mar del Plata,Peces,Bacalao austral,72858
2019-02,Costeros,Mar del Plata,Peces,Bagre,61693
2019-02,Costeros,Mar del Plata,Peces,Besugo,112424
2019-02,Costeros,Mar del Plata,Peces,Besugo,134800
2019-02,Costeros,Mar del Plata,Peces,Brótola,920
2019-02,Costeros,Mar del Plata,Peces,Brótola,423087
2019-02,Costeros,Mar del Plata,Peces,Caballa,637
2019-02,Costeros,Mar del Plata,Peces,Chernia,1811
2019-02,Costeros,Mar del Plata,Peces,Corvina blanca,459
2019-02,Costeros,Mar del Plata,Peces,Corvina blanca,294
2019-02,Costeros,Mar del Plata,Peces,Corvina negra,7022
2019-02,Costeros,Mar del Plata,Peces,Gatuzo,19279
2019-02,Costeros,Mar del Plata,Peces,Gatuzo,34
2019-02,Costeros,Mar del Plata,Peces,Lenguados nep,19246
2019-02,Costeros,Mar del Plata,Peces,Lenguados nep,208
2019-02,Costeros,Mar del Plata,Peces,Merluza hubbsi,1213
2019-02,Costeros,Mar del Plata,Peces,Merluza hubbsi,11108
2019-02,Costeros,Mar del Plata,Peces,Merluza hubbsi,324814
2019-02,Costeros,Mar del Plata,Peces,Mero,1244
2019-02,Costeros,Mar del Plata,Peces,Mero,4361
2019-02,Costeros,Mar del Plata,Peces,Palometa,1231
2019-02,Costeros,Mar del Plata,Peces,Papafigo,30
2019-02,Costeros,Mar del Plata,Peces,Pargo,484
2019-02,Costeros,Mar del Plata,Peces,Pargo,624660
2019-02,Costeros,Mar del Plata,Peces,Pescadilla,13245
2019-02,Costeros,Mar del Plata,Peces,Pescadilla,4467
2019-02,Costeros,Mar del Plata,Peces,Pescadilla real,209547
2019-02,Costeros,Mar del Plata,Peces,Pez gallo,55957
2019-02,Costeros,Mar del Plata,Peces,Pez gallo,489113
2019-02,Costeros,Mar del Plata,Peces,Pez palo,448113
2019-02,Costeros,Mar del Plata,Peces,Pez palo,150619
2019-02,Costeros,Mar del Plata,Peces,Pez sable,103119
2019-02,Costeros,Mar del Plata,Peces,Pez ángel,5109
2019-02,Costeros,Mar del Plata,Peces,Pez ángel,44759
2019-02,Costeros,Mar del Plata,Peces,Raya hocicuda / picuda,11344
2019-02,Costeros,Mar del Plata,Peces,Raya hocicuda / picuda,442
2019-02,Costeros,Mar del Plata,Peces,Rayas nep,4880
2019-02,Costeros,Mar del Plata,Peces,Rayas nep,58536
2019-02,Costeros,Mar del Plata,Peces,Rubio,31965
2019-02,Costeros,Mar del Plata,Peces,Salmonete,227801
2019-02,Costeros,Mar del Plata,Peces,Salmón de mar,3162
2019-02,Costeros,Mar del Plata,Peces,Salmón de mar,284
2019-02,Costeros,Mar del Plata,Peces,Tiburones nep,3156
2019-02,Costeros,Mar del Plata,Peces,Tiburones nep,116231
2019-02,Fresqueros,Mar del Plata,Crustáceos,Langostino,788937
2019-02,Fresqueros,Mar del Plata,Moluscos,Calamar Illex,256
2019-02,Fresqueros,Mar del Plata,Peces,Abadejo,26040
2019-02,Fresqueros,Mar del Plata,Peces,Anchoa de banco,277530
2019-02,Fresqueros,Mar del Plata,Peces,Bacalao austral,8325
2019-02,Fresqueros,Mar del Plata,Peces,Besugo,7807
2019-02,Fresqueros,Mar del Plata,Peces,Brótola,188365
2019-02,Fresqueros,Mar del Plata,Peces,Caballa,489674
2019-02,Fresqueros,Mar del Plata,Peces,Cazón,128
2019-02,Fresqueros,Mar del Plata,Peces,Corvina blanca,28304
2019-02,Fresqueros,Mar del Plata,Peces,Gatuzo,7229
2019-02,Fresqueros,Mar del Plata,Peces,Lenguados nep,30678
2019-02,Fresqueros,Mar del Plata,Peces,Lenguados nep,167
2019-02,Fresqueros,Mar del Plata,Peces,Merluza hubbsi,1760
2019-02,Fresqueros,Mar del Plata,Peces,Merluza hubbsi,10
2019-02,Fresqueros,Mar del Plata,Peces,Merluza hubbsi,90
2019-02,Fresqueros,Mar del Plata,Peces,Mero,569
2019-02,Fresqueros,Mar del Plata,Peces,Mero,40
2019-02,Fresqueros,Mar del Plata,Peces,Notothenia,1400
2019-02,Fresqueros,Mar del Plata,Peces,Otras especies de peces,10
2019-02,Fresqueros,Mar del Plata,Peces,Palometa,10
2019-02,Fresqueros,Mar del Plata,Peces,Pargo,215
2019-02,Fresqueros,Mar del Plata,Peces,Pescadilla,58
2019-02,Fresqueros,Mar del Plata,Peces,Pescadilla real,114
2019-02,Fresqueros,Mar del Plata,Peces,Pez gallo,13651
2019-02,Fresqueros,Mar del Plata,Peces,Pez gallo,11645
2019-02,Fresqueros,Mar del Plata,Peces,Pez palo,9432248
2019-02,Fresqueros,Mar del Plata,Peces,Pez sable,384
2019-02,Fresqueros,Mar del Plata,Peces,Pez ángel,102
2019-02,Fresqueros,Mar del Plata,Peces,Raya hocicuda / picuda,165
2019-02,Fresqueros,Mar del Plata,Peces,Rayas nep,6111
2019-02,Fresqueros,Mar del Plata,Peces,Rayas nep,33
2019-02,Fresqueros,Mar del Plata,Peces,Rubio,426908
2019-02,Fresqueros,Mar del Plata,Peces,Salmón de mar,3811
2019-02,Fresqueros,Mar del Plata,Peces,Salmón de mar,774
2019-02,Fresqueros,Mar del Plata,Peces,Savorín,1730
2019-02,Fresqueros,Mar del Plata,Peces,Tiburones nep,32416
2019-02,Fresqueros,Mar del Plata,Peces,Tiburones nep,495
2019-02,Rada o ría,Mar del Plata,Crustáceos,Cangrejo,198
2019-02,Rada o ría,Mar del Plata,Moluscos,Calamar Loligo,576
2019-02,Rada o ría,Mar del Plata,Peces,Anchoa de banco,5893
2019-02,Rada o ría,Mar del Plata,Peces,Besugo,14592
2019-02,Rada o ría,Mar del Plata,Peces,Besugo,14604
2019-02,Rada o ría,Mar del Plata,Peces,Bonito,2808
2019-02,Rada o ría,Mar del Plata,Peces,Brótola,160
2019-02,Rada o ría,Mar del Plata,Peces,Castañeta,379042
2019-02,Rada o ría,Mar del Plata,Peces,Corvina blanca,1922
2019-02,Rada o ría,Mar del Plata,Peces,Corvina blanca,12783
2019-02,Rada o ría,Mar del Plata,Peces,Gatuzo,766
2019-02,Rada o ría,Mar del Plata,Peces,Gatuzo,384
2019-02,Rada o ría,Mar del Plata,Peces,Jurel,100
2019-02,Rada o ría,Mar del Plata,Peces,Lenguados nep,150
2019-02,Rada o ría,Mar del Plata,Peces,Lenguados nep,29944
2019-02,Rada o ría,Mar del Plata,Peces,Mero,317078
2019-02,Rada o ría,Mar del Plata,Peces,Mero,22916
2019-02,Rada o ría,Mar del Plata,Peces,Pargo,1211
2019-02,Rada o ría,Mar del Plata,Peces,Pescadilla,676
2019-02,Rada o ría,Mar del Plata,Peces,Pescadilla,57669
2019-02,Rada o ría,Mar del Plata,Peces,Pez limón,1056564
2019-02,Rada o ría,Mar del Plata,Peces,Pez palo,414
2019-02,Rada o ría,Mar del Plata,Peces,Pez palo,1858
2019-02,Rada o ría,Mar del Plata,Peces,Pez ángel,378
2019-02,Rada o ría,Mar del Plata,Peces,Pez ángel,239892
2019-02,Rada o ría,Mar del Plata,Peces,Rayas nep,197689
2019-02,Rada o ría,Mar del Plata,Peces,Rayas nep,1881
2019-02,Rada o ría,Mar del Plata,Peces,Salmonete,894
2019-02,Rada o ría,Mar del Plata,Peces,Salmón de mar,18902
2019-02,Rada o ría,Mar del Plata,Peces,Salmón de mar,874
2019-02,Rada o ría,Necochea / Quequén,Moluscos,Calamar Loligo,6245
2019-02,Rada o ría,Necochea / Quequén,Moluscos,Caracol,29
2019-02,Rada o ría,Necochea / Quequén,Peces,Besugo,155385
2019-02,Rada o ría,Necochea / Quequén,Peces,Brótola,8944
2019-02,Rada o ría,Necochea / Quequén,Peces,Corvina blanca,1370
